id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<중국>	weight<미국>	weight<영국>	weight<프랑스>	weight<러시아>	weight<독일>	weight<한국>	weight<이란>	weight<스페인>	weight<싱가폴>
Emergency Medicine	0.387	0.7237	4	253	42.0747	0	0	0	0	0	0	0	0	0	0
Endocrinology & Metabolism	0.0399	0.6728	4	253	46.8349	0	0	0	0	0	0	0	0	0	0
Energy & Fuels	-0.8136	-0.3301	1	253	49.4543	0.118	0.122	0.04	0	0.056	0.068	0.104	0	0	0.049
Engineering, Aerospace	-0.7646	-0.4948	1	253	21.431	0.247	0.19	0.301	0.371	0	0	0.311	0.503	0.173	0.293
Engineering, Biomedical	-0.2227	0.2925	4	253	64.733	0.03	0.113	0.038	0	0	0.064	0	0	0	0.367
Engineering, Chemical	-0.962	-0.1587	1	253	43.8283	0.033	0.04	0	0.186	0	0	0.207	0.137	0	0
Engineering, Civil	-0.6884	-0.4483	1	253	34.3872	0.356	0.313	0.446	0.371	0.038	0.107	0.086	0.488	0.549	0.196
Engineering, Electrical & Electronic	-0.6788	-0.6136	3	253	38.6195	4.916	3.751	2.612	2.979	3.758	2.014	4.914	10.011	3.481	4.203
Engineering, Environmental	-0.6989	-0.1053	2	253	53.0279	0.014	0	0	0	0	0	0	0.244	0.231	0.049
Engineering, Geological	-0.7652	-0.3701	1	253	22.8778	0.033	0.036	0	0	0	0	0	0.091	0	0
Engineering, Industrial	-0.1568	-0.4694	3	253	46.3932	0	0	0	0	0	0	0	0	0	0
Engineering, Manufacturing	-0.7192	-0.4969	3	253	43.3414	0.039	0.162	0.151	0.139	0	0	0.086	0	0.087	0.037
Engineering, Marine	-0.6746	-0.431	1	253	39.026	0.039	0	0	0	0	0	0.207	0	0	0
Engineering, Mechanical	-0.8949	-0.479	1	253	36.8255	2.254	2.678	3.228	4.751	0.47	2.536	2.936	1.357	2.426	1.601
Engineering, Multidisciplinary	-0.6265	-0.4663	1	253	68.84	0.644	0.554	1.325	0.812	0.423	0.394	1.2	0.396	1.3	0.428
Engineering, Ocean	-0.6707	-0.3628	1	253	40.4909	0.022	0.008	0	0	0	0	0	0	0	0
Engineering, Petroleum	-0.8744	-0.2797	1	253	33.9556	0	0.012	0	0	0	0	0	0	0	0
Entomology	-0.4049	0.3135	2	253	22.9815	0	0	0	0	0	0	0	0	0	0
Environmental Sciences	-0.4206	-0.0568	2	253	55.5091	0.043	0	0	0	0	0	0.121	0.503	0.52	0
Environmental Studies	0.1943	-0.3168	5	253	62.2003	0	0	0	0	0	0	0.069	0	0.116	0
Ergonomics	0.2832	-0.1195	5	253	58.3066	0	0	0	0	0	0	0	0	0	0
Ethics	0.679	-0.0999	5	253	54.1682	0	0	0	0	0	0	0	0	0	0
Ethnic Studies	0.978	-0.2319	5	253	47.7857	0	0	0	0	0	0	0	0	0	0
Evolutionary Biology	-0.3333	0.2653	2	253	56.305	0	0	0	0	0	0	0	0	0	0
Family Studies	0.8403	0.076	5	253	44.4103	0	0	0	0	0	0	0	0	0	0
Film, Radio, Television	1.113	-0.394	5	253	16.1974	0	0	0	0	0	0	0	0	0	0
Fisheries	-0.4077	0.2395	2	253	25.5058	0	0	0	0	0	0	0	0	0	0
Folklore	1.0143	-0.352	5	253	16.5385	0	0	0	0	0	0	0	0	0	0
Food Science & Technology	-0.5083	0.3526	2	253	31.1004	0.007	0	0	0	0	0	0	0	0	0
Forestry	-0.4533	0.0592	2	253	27.7253	0.009	0	0	0	0	0.043	0	0.03	0.087	0
Gastroenterology & Hepatology	0.0986	0.7865	4	253	32.0014	0	0	0	0	0	0	0	0	0	0
Genetics & Heredity	-0.2524	0.4921	4	253	62.1327	0	0	0	0	0	0	0	0	0	0
Geochemistry & Geophysics	-0.6964	-0.2332	2	253	25.4773	0.012	0.059	0.181	0.186	0	0.128	0	0	0	0
Geography	0.5118	-0.3518	5	253	34.8872	0	0	0	0	0	0	0	0	0	0
Geography, Physical	-0.4534	-0.1593	2	253	47.0829	0.014	0	0	0	0	0	0	0	0	0
Geology	-0.6381	-0.1776	2	253	27.9337	0	0	0	0	0	0	0	0	0	0
Geosciences, Multidisciplinary	-0.6176	-0.2134	2	253	38.3871	0.049	0.024	0	0	0	0	0	0.046	0	0
Geriatrics & Gerontology	0.2854	0.5343	4	253	71.2065	0	0	0	0	0	0	0	0	0	0
Gerontology	0.5769	0.3761	5	253	49.1458	0	0	0	0	0	0	0	0	0	0
Green & Sustainable Science & Technology	-0.4058	-0.2683	1	253	70.6436	0.016	0	0	0	0	0	0.104	0	0.173	0
Health Care Sciences & Services	0.4396	0.474	4	253	65.016	0	0	0	0	0	0	0	0	0	0
Health Policy & Services	0.5238	0.3766	5	253	63.8416	0	0	0	0	0	0	0	0	0	0
Hematology	-0.0011	0.7508	4	253	39.8996	0	0	0	0	0	0	0	0	0	0
History	1.1315	-0.4524	5	253	23.5655	0	0	0	0	0	0	0	0	0	0
History & Philosophy Of Science	0.4573	-0.2001	5	253	37.9673	0	0.012	0	0.046	0	0	0.052	0	0	0
History Of Social Sciences	0.8905	-0.4162	5	253	45.9655	0	0	0	0	0	0	0	0	0	0
Horticulture	-0.5599	0.3389	2	253	26.7275	0	0	0	0	0	0	0	0	0	0
Hospitality, Leisure, Sport & Tourism	0.6875	-0.3009	5	253	31.827	0	0	0	0	0	0	0	0	0	0
Humanities, Multidisciplinary	1.0351	-0.3891	5	253	45.002	0	0	0.075	0	0	0	0	0	0	0
Imaging Science & Photographic Technology	-0.5549	-0.4018	2	253	47.6748	0.004	0	0	0	0	0	0	0	0	0
Immunology	-0.1004	0.6571	4	253	55.8036	0	0	0	0	0	0	0	0	0	0
Industrial Relations & Labor	0.7606	-0.4124	5	253	35.9332	0	0	0	0	0	0	0	0	0	0
Infectious Diseases	0.0883	0.5964	4	253	55.6017	0	0	0	0	0	0	0	0	0	0
Information Science & Library Science	0.3601	-0.2642	5	253	28.0905	0	0	0	0	0	0	0	0	0	0
Instruments & Instrumentation	-0.7964	-0.4014	1	253	58.3129	0.587	1.017	0.948	0.696	0.47	0.575	1.347	0.587	1.184	0.501
Integrative & Complementary Medicine	-0.0095	0.5757	4	253	76.0551	0	0	0	0	0	0	0	0	0	0
International Relations	0.8492	-0.4215	5	253	27.0622	0	0	0	0	0	0	0	0	0	0
Language & Linguistics	1.0282	-0.3151	5	253	18.488	0	0	0	0	0	0	0	0	0	0
Law	0.8449	-0.2714	5	253	13.9223	0	0	0	0	0	0	0	0	0	0
Limnology	-0.5271	-0.0024	2	253	46.0528	0	0	0	0	0	0	0	0	0	0
Linguistics	0.9035	-0.2045	5	253	22.0343	0	0	0	0	0	0	0	0	0	0
Literary Reviews	1.0868	-0.3999	5	253	34.3887	0	0	0	0	0	0	0	0	0	0
Literary Theory & Criticism	1.2175	-0.4512	5	253	30.4445	0	0	0	0	0	0	0	0	0	0
Literature	1.2464	-0.4515	5	253	26.3578	0	0	0	0	0	0	0	0	0	0
Literature, African, Australian, Canadian	1.2539	-0.4611	5	253	21.901	0	0	0	0	0	0	0	0	0	0
Literature, American	1.2544	-0.4679	5	253	18.8808	0	0	0	0	0	0	0	0	0	0
Literature, British Isles	1.281	-0.469	5	253	18.3357	0	0	0	0	0	0	0	0	0	0
Literature, German, Dutch, Scandinavian	1.2091	-0.4423	5	253	17.9523	0	0	0	0	0	0	0	0	0	0
Literature, Romance	1.2227	-0.4433	5	253	18.5259	0	0	0	0	0	0	0	0	0	0
Literature, Slavic	1.165	-0.4297	5	253	21.4672	0	0	0	0	0	0	0	0	0	0
Logic	-0.1654	-0.629	3	253	19.2479	0	0	0	0	0	0	0	0	0	0
Management	0.5319	-0.4537	5	253	33.84	0	0	0	0	0	0	0	0	0	0
Marine & Freshwater Biology	-0.4674	0.1605	2	253	38.3804	0	0	0	0	0	0	0	0	0	0
Materials Science, Biomaterials	-0.6337	0.2654	4	253	62.8712	0.023	0.051	0.038	0	0	0.192	0	0	0.173	0
Materials Science, Ceramics	-1.1212	-0.2774	1	253	34.986	0.077	0.024	0	0	0	0	0	0	0.173	0
Materials Science, Characterization & Testing	-0.9966	-0.3799	1	253	46.4081	0.08	0.09	0.182	0.054	0.451	0.192	0.035	0.145	0	0.147
Materials Science, Coatings & Films	-1.1272	-0.2713	1	253	46.1304	0.086	0.044	0	0	0	0	0.078	0	0.058	0
Materials Science, Composites	-1.0579	-0.3354	1	253	34.3032	0.859	0.334	1.451	0.72	0.225	0.512	1.088	0.526	0.347	1.1
Materials Science, Multidisciplinary	-1.0547	-0.2474	1	253	56.9502	11.971	13.014	13.484	11.523	9.831	14.201	12.739	6.337	11.493	13.602
Materials Science, Paper & Wood	-0.8479	-0.0499	1	253	21.3452	0.052	0	0	0.031	0	0.043	0.104	0.122	0.433	0
Materials Science, Textiles	-0.888	-0.1068	1	253	27.4114	0.439	0.182	0.264	0.031	0	0.171	0.466	0.396	0.693	0
Mathematical & Computational Biology	-0.234	0.1397	2	253	86.4373	0	0	0	0	0	0	0	0	0	0
Mathematics	-0.387	-0.6502	3	253	12.3055	0.047	0.142	0	0.046	0.395	0.128	0.155	0	0.173	0
Mathematics, Applied	-0.4461	-0.6177	3	253	22.1907	0.244	0.685	1.356	0.761	0.733	0.512	0.466	0	0.751	0.147
Mathematics, Interdisciplinary Applications	-0.3765	-0.4507	3	253	65.5595	0.205	0.277	0.371	0.359	0.15	0.256	0.207	0.259	0.549	0.318
Mechanics	-0.8769	-0.4494	1	253	39.2007	3.587	4.598	6.142	7.067	4.472	5.136	2.763	3.53	2.224	3.152
Medical Ethics	0.4455	0.3549	5	253	67.8229	0	0	0	0	0	0	0	0	0	0
Medical Informatics	0.1786	0.2446	4	253	76.6626	0	0	0	0	0	0	0	0	0	0
Medical Laboratory Technology	-0.0072	0.7189	4	253	61.3527	0	0	0	0	0	0	0	0	0	0
Medicine, General & Internal	0.3116	0.6676	4	253	74.5022	0	0	0	0	0	0	0	0	0	0
Medicine, Legal	0.0737	0.3687	4	253	26.4221	0	0	0	0	0	0	0	0	0	0
Medicine, Research & Experimental	-0.039	0.6306	4	253	89.3746	0	0.012	0	0	0	0	0	0	0	0
Medieval & Renaissance Studies	1.1895	-0.4657	5	253	20.0952	0	0	0	0	0	0	0	0	0	0
Metallurgy & Metallurgical Engineering	-1.1213	-0.3362	1	253	33.1026	0.407	0.126	0.254	0.248	0.308	0.435	0.301	0.177	0.347	0.117
Meteorology & Atmospheric Sciences	-0.5544	-0.2079	2	253	21.3659	0.003	0.024	0.03	0	0	0	0	0	0	0
Microbiology	-0.3331	0.5255	2	253	47.141	0	0	0	0	0	0	0	0	0	0
Microscopy	-0.7046	0.0644	1	253	63.4757	0	0	0	0	0	0	0	0	0	0
Mineralogy	-0.8118	-0.2067	2	253	29.5154	0	0.006	0	0	0	0	0	0	0	0
Mining & Mineral Processing	-0.8461	-0.2868	1	253	37.3406	0	0.006	0	0	0	0	0	0	0	0
Multidisciplinary Sciences	-0.2791	0.2222	6	253	107.893	4.204	10.359	11.153	6.314	4.848	8.951	13.575	4.666	9.532	9.091
Music	0.9237	-0.2826	5	253	10.2675	0	0	0	0	0	0	0	0	0	0
Mycology	-0.433	0.4777	2	253	30.5997	0	0	0	0	0	0	0	0	0	0
Nanoscience & Nanotechnology	-0.9626	-0.1328	1	253	66.3255	3.891	4.669	3.827	2.948	3.923	6.579	5.927	3.998	4.518	5.652
Neuroimaging	0.2357	0.4464	4	253	47.1653	0	0	0	0	0	0	0	0	0	0
Neurosciences	0.1313	0.4186	4	253	52.9563	0.004	0	0	0	0	0	0	0	0	0
Nuclear Science & Technology	-0.8947	-0.2899	1	253	22.6587	0.003	0	0	0	0.179	0	0	0	0	0.037
Nursing	0.5495	0.4733	4	253	35.8997	0	0	0	0	0	0	0	0	0	0
Nutrition & Dietetics	0.0666	0.535	4	253	49.5414	0.003	0	0	0	0	0	0	0	0	0
Obstetrics & Gynecology	0.2582	0.6918	4	253	34.2029	0	0	0	0	0	0	0	0	0	0
Oceanography	-0.5664	-0.0961	2	253	32.3047	0.022	0	0	0	0	0	0.052	0	0	0
Oncology	-0.0399	0.7416	4	253	45.5272	0	0	0	0	0	0	0	0	0	0
Operations Research & Management Science	-0.0439	-0.5578	3	253	39.0772	0.011	0	0.038	0	0	0	0	0	0	0.073
Ophthalmology	0.1033	0.5543	4	253	13.346	0	0	0	0	0	0	0	0	0	0
Optics	-0.9004	-0.3627	1	253	33.0138	24.402	18.753	15.262	11.461	20.675	17.896	17.073	32.484	13.66	18.763
Ornithology	-0.3572	0.1664	2	253	20.3013	0	0	0	0	0	0	0	0	0	0
Orthopedics	0.2851	0.7491	4	253	23.9479	0	0	0	0	0	0	0	0	0	0
Otorhinolaryngology	0.2272	0.6556	4	253	26.045	0	0	0	0	0	0	0	0	0	0
Paleontology	-0.4686	-0.0196	2	253	27.1465	0	0	0	0	0	0	0	0	0	0
Parasitology	-0.1833	0.4995	2	253	37.552	0	0	0	0	0	0	0	0	0	0
Pathology	-0.0238	0.7441	4	253	53.5051	0.009	0	0	0	0	0	0	0	0	0
Pediatrics	0.3481	0.6586	4	253	48.3594	0	0	0	0	0	0	0	0	0	0
Peripheral Vascular Disease	0.1796	0.7598	4	253	48.0485	0	0	0	0	0	0	0	0	0	0
Pharmacology & Pharmacy	-0.1615	0.5983	4	253	64.5128	0.011	0.006	0	0	0.085	0	0	0	0	0
Philosophy	0.9118	-0.379	5	253	15.4092	0	0	0	0	0	0	0	0	0	0
Physics, Applied	-1.0154	-0.3315	1	253	48.4385	16.699	15.528	12.071	18.966	15.637	13.124	11.15	9.921	16.462	16.804
Physics, Atomic, Molecular & Chemical	-1.0148	-0.1625	1	253	45.7184	0.308	0.398	0.358	0.232	1.672	0.543	0.13	0.366	0.78	0.44
Physics, Condensed Matter	-1.0549	-0.3003	1	253	46.6146	3.097	4.084	6.099	3.507	7.388	6.315	2.817	3.699	4.547	5.11
Physics, Fluids & Plasmas	-0.9139	-0.3899	1	253	30.7315	0.149	0.689	0.377	0.715	0.395	0.256	0.104	0.549	0	0
Physics, Mathematical	-0.7303	-0.4478	1	253	36.7931	0.463	0.677	0.327	0.808	0.62	0.256	0.363	0.122	0.173	0.098
Physics, Multidisciplinary	-0.8964	-0.3468	1	253	42.1395	7.152	4.256	4.578	4.844	10.147	3.41	2.997	4.132	4.65	2.529
Physics, Nuclear	-0.9905	-0.4483	1	253	15.7054	0	0	0	0	0.085	0.064	0	0	0	0.037
Physics, Particles & Fields	-0.9683	-0.4711	1	253	12.5057	0	0.036	0	0.046	0.056	0.192	0	0.091	0	0
Physiology	-0.0419	0.5286	4	253	67.6542	0	0	0	0	0	0	0	0	0	0
Plant Sciences	-0.5376	0.3544	2	253	35.1929	0	0	0	0	0	0	0	0	0	0
Poetry	1.2982	-0.4777	5	253	14.8172	0	0	0	0	0	0	0	0	0	0
Political Science	0.9655	-0.4386	5	253	25.5646	0	0	0	0	0	0	0	0	0	0
Polymer Science	-1.0439	-0.0716	1	253	28.6427	0.352	0.255	0.195	0.634	0	0.192	1.166	0.869	0.693	0.623
Primary Health Care	0.4659	0.6389	4	253	56.4659	0	0	0	0	0	0	0	0	0	0
Psychiatry	0.6063	0.3779	4	253	42.7798	0	0	0	0	0	0	0	0	0	0
Psychology	0.505	0.2608	5	253	59.4191	0	0	0	0	0	0	0	0	0	0
Psychology, Applied	0.6955	-0.0893	5	253	38.8879	0	0	0	0	0	0	0	0	0	0
Psychology, Biological	0.2779	0.2483	5	253	57.7768	0	0	0	0	0	0	0	0	0	0
Psychology, Clinical	0.7436	0.2548	5	253	39.1558	0	0	0	0	0	0	0	0	0	0
Psychology, Developmental	0.725	0.1724	5	253	36.1433	0	0	0	0	0	0	0	0	0	0
Psychology, Educational	0.8304	-0.0125	5	253	29.814	0	0	0	0	0	0	0	0	0	0
Psychology, Experimental	0.522	0.0916	5	253	40.7265	0	0	0	0	0	0	0	0	0	0
Psychology, Mathematical	0.46	-0.0636	5	253	39.7023	0	0	0	0	0	0	0	0	0	0
Psychology, Multidisciplinary	0.6672	0.0627	5	253	57.1569	0	0	0	0	0	0	0	0	0	0
Psychology, Psychoanalysis	0.8365	0.1617	5	253	9.3109	0	0	0	0	0	0	0	0	0	0
Psychology, Social	0.8057	-0.0243	5	253	30.1621	0	0	0	0	0	0	0	0	0	0
Public Administration	0.776	-0.3935	5	253	32.9798	0	0	0	0	0	0	0	0	0	0
Public, Environmental & Occupational Health	0.3941	0.3868	4	253	63.5059	0	0	0	0	0	0	0.052	0	0	0
Quantum Science & Technology	-0.9019	-0.3826	1	253	44.9295	0.192	0.089	0.17	0.139	0.442	0.149	0.026	1.571	0.087	0.037
Radiology, Nuclear Medicine & Medical Imaging	0.0118	0.5542	4	253	28.8041	0.131	0.091	0.138	0.356	0.225	0.128	0.155	0.076	0.26	0
Regional & Urban Planning	0.4858	-0.3963	5	253	50.2305	0	0	0	0	0	0	0	0	0	0
Rehabilitation	0.5198	0.4262	4	253	44.2778	0	0	0	0	0	0	0	0	0	0
Religion	1.0412	-0.3413	5	253	15.6351	0	0	0	0	0	0	0	0	0	0
Remote Sensing	-0.556	-0.3464	2	253	42.3873	0.003	0.024	0.03	0	0	0	0	0	0	0
Reproductive Biology	-0.0893	0.6333	4	253	41.6078	0	0	0	0	0	0	0	0	0	0
Respiratory System	0.2054	0.7461	4	253	44.7515	0	0	0	0	0	0	0	0	0	0
Rheumatology	0.2064	0.7067	4	253	23.5586	0	0	0	0	0	0	0	0	0	0
Robotics	-0.4913	-0.4829	3	253	31.2732	0.082	0.712	0.49	0.139	0	0.064	0.933	0	0	0.367
Social Issues	0.7464	-0.1141	5	253	68.0387	0	0	0	0	0	0	0	0	0	0
Social Sciences, Biomedical	0.5679	0.2862	5	253	71.4373	0	0	0	0	0	0	0	0	0	0
Social Sciences, Interdisciplinary	0.7294	-0.1714	5	253	72.4081	0	0	0	0	0	0	0.052	0	0	0
Social Sciences, Mathematical Methods	0.492	-0.4453	5	253	39.5787	0	0	0	0	0	0	0	0	0	0
Social Work	0.8071	0.0855	5	253	36.8147	0	0	0	0	0	0	0	0	0	0
Sociology	0.9178	-0.294	5	253	38.7459	0	0	0	0	0	0	0	0	0	0
Soil Science	-0.5683	0.0741	2	253	25.1753	0.003	0	0	0	0	0	0	0	0	0
Spectroscopy	-0.8968	-0.0117	1	253	51.313	0.142	0.059	0.038	0	1.409	0.128	0	0.183	0.26	0
Sport Sciences	0.3684	0.5194	4	253	26.4845	0	0	0	0	0	0	0	0	0	0
Statistics & Probability	-0.0498	-0.3522	3	253	21.2921	0	0	0	0	0	0	0	0	0	0
Substance Abuse	0.563	0.3729	4	253	44.3128	0	0	0	0	0	0	0	0	0	0
Surgery	0.2392	0.8224	4	253	34.7092	0	0	0	0	0	0	0	0	0	0
Telecommunications	-0.5861	-0.6423	3	253	33.1178	2.243	1.911	1.449	1.517	2.104	1.002	2.055	4.788	1.733	2.248
Theater	1.1543	-0.403	5	253	15.149	0	0	0	0	0	0	0	0	0	0
Thermodynamics	-0.9396	-0.375	1	253	40.9483	0.168	0.082	0.138	0.17	0.207	0.298	0.035	0.046	0.087	0.293
Toxicology	-0.2463	0.4256	4	253	67.5681	0	0	0	0	0	0	0	0	0	0
Transplantation	0.1392	0.8098	4	253	47.5432	0	0	0	0	0	0	0	0	0	0
Transportation	0.224	-0.3675	5	253	39.064	0	0.008	0	0	0	0	0	0	0	0
Transportation Science & Technology	-0.3171	-0.5501	3	253	41.9147	0.006	0.008	0.019	0	0	0	0.104	0	0	0
Tropical Medicine	0.0812	0.504	4	253	57.5418	0	0	0	0	0	0	0	0	0	0
Urban Studies	0.5975	-0.3787	5	253	41.0407	0	0	0	0	0	0	0	0	0	0
Urology & Nephrology	0.1617	0.8143	4	253	25.1144	0	0	0	0	0	0	0	0	0	0
Veterinary Sciences	-0.2197	0.5747	2	253	21.7031	0	0	0	0	0	0	0	0	0	0
Virology	-0.2233	0.5412	4	253	43.7693	0	0	0	0	0	0	0	0	0	0
Water Resources	-0.5673	-0.162	2	253	44.6718	0.003	0	0	0	0	0	0	0	0	0
Women's Studies	0.9003	-0.1114	5	253	53.4648	0	0	0	0	0	0	0	0	0	0
Zoology	-0.3169	0.2903	2	253	35.2673	0	0	0	0	0	0	0	0	0	0
