id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<한국 P4>	weight<한국 P3>	weight<한국 P2>	weight<한국 P1>	weight<전체 P4>	weight<전체 P3>	weight<전체 P2>	weight<전체 P1>	weight<미국 P4>	weight<미국 P3>	weight<미국 P2>	weight<미국 P1>	weight<중국 P4>	weight<중국 P3>	weight<중국 P2>	weight<중국 P1>	weight<영국 P4>	weight<영국 P3>	weight<영국 P2>	weight<영국 P1>	weight<프랑스 P4>	weight<프랑스 P3>	weight<프랑스 P2>	weight<프랑스 P1>	weight<독일 P4>	weight<독일 P3>	weight<독일 P2>	weight<독일 P1>	weight<이탈리아 P4>	weight<이탈리아 P3>	weight<이탈리아 P2>	weight<이탈리아 P1>	weight<일본 P4>	weight<일본 P3>	weight<일본 P2>	weight<일본 P1>	weight<캐나다 P4>	weight<캐나다 P3>	weight<캐나다 P2>	weight<캐나다 P1>	weight<호주 P4>	weight<호주 P3>	weight<호주 P2>	weight<호주 P1>	weight<네덜란드 P1>	weight<네덜란드 P2>	weight<네덜란드 P3>	weight<네덜란드 P4>	weight<노르웨이 P1>	weight<노르웨이 P2>	weight<노르웨이 P3>	weight<노르웨이 P4>	weight<대만 P1>	weight<대만 P2>	weight<대만 P3>	weight<대만 P4>	weight<덴마크 P1>	weight<덴마크 P2>	weight<덴마크 P3>	weight<덴마크 P4>	weight<러시아 P1>	weight<러시아 P2>	weight<러시아 P3>	weight<러시아 P4>	weight<벨기에 P1>	weight<벨기에 P2>	weight<벨기에 P3>	weight<벨기에 P4>	weight<브라질 P1>	weight<브라질 P2>	weight<브라질 P3>	weight<브라질 P4>	weight<사우디아라비아 P1>	weight<사우디아라비아 P2>	weight<사우디아라비아 P3>	weight<사우디아라비아 P4>	weight<스웨덴 P1>	weight<스웨덴 P2>	weight<스웨덴 P3>	weight<스웨덴 P4>	weight<스위스 P1>	weight<스위스 P2>	weight<스위스 P3>	weight<스위스 P4>	weight<스페인 P1>	weight<스페인 P2>	weight<스페인 P3>	weight<스페인 P4>	weight<싱가폴 P1>	weight<싱가폴 P2>	weight<싱가폴 P3>	weight<싱가폴 P4>	weight<오스트리아 P1>	weight<오스트리아 P2>	weight<오스트리아 P3>	weight<오스트리아 P4>	weight<이란 P1>	weight<이란 P2>	weight<이란 P3>	weight<이란 P4>	weight<이스라엘 P1>	weight<이스라엘 P2>	weight<이스라엘 P3>	weight<이스라엘 P4>	weight<인도 P1>	weight<인도 P2>	weight<인도 P3>	weight<인도 P4>	weight<체코 P1>	weight<체코 P2>	weight<체코 P3>	weight<체코 P4>	weight<포르투갈 P1>	weight<포르투갈 P2>	weight<포르투갈 P3>	weight<포르투갈 P4>	weight<폴란드 P1>	weight<폴란드 P2>	weight<폴란드 P3>	weight<폴란드 P4>	weight<핀란드 P1>	weight<핀란드 P2>	weight<핀란드 P3>	weight<핀란드 P4>
A01B	0.0413	0.186	2	671	28.839	0.0032346757237587	0.00276055411870589	0.00231234953230384	0.00572609329262614	0.05110289980012	0.0368424888276746	0.0442621308596762	0.0625085930213625	0.0744226380140604	0.0507261703449009	0.0608380868018059	0.0890470704578324	0	0.0128406137865886	0.00666352346984784	0.0104262474828127	0.0393134662658824	0.0167465901659898	0.010792975302785	0.015405216917549	0.0560702297253847	0.0473597092953527	0.046823782855484	0.0659505143307282	0.0271040010998374	0.0311078630526005	0.0460990431021231	0.0466848612452886	0.0313118215474229	0.0753785107170863	0.0418154263411217	0.0425105026831261	0.0111329472465155	0.00686910188854863	0.00714498937962634	0.0172590499863989	0.17195561385001	0.230038303937491	0.29141024386085	0.41878255578539	0.172018297984132	0.114205222895689	0.0772436413905878	0.195354228770661	0.0307303400137119	0.0622945929739445	0.031845083647157	0.0170130439466638	0.205110642850766	0.0488076571796618	0	0.0862068965517242	0.00239629175267269	0.00192969894822234	0.00193723363037582	0.00953992029426832	0.0835035544276719	0.0767157016936112	0.0482825086829232	0.130388931662817	0.12448132780083	0.037640453131883	0.0392156862745098	0	0	0.0257542837815372	0.0174094707520891	0	0.527855956766984	0.0424537090434829	0.169796388229369	0.317460317460318	0	0	0	0	0.0343626521741054	0.0423615898447288	0.0208217270895319	0	0.0500486229346925	0.0199648873814311	0.0218624486018756	0.0226073850791258	0.0481190451531562	0.0614799376982319	0.127449772962218	0	0	0	0	0	0.0713736163628477	0.0170147081354256	0.00563539025077486	0.0589970501474926	0.099502487562189	0	0	0	0.0121230810949484	0	0	0.0526896711978622	0.0139833051435974	0.0195119254025763	0	0.032051282051282	0.0806451612903226	0.282193958664547	0	0	0	0	0	0	0	0	0	0	0.0149762484701844	0.00763413180804668	0	0.0177304964539007
A01C	-0.3492	-0.0178	2	671	35.8054	0.00670510178963311	0.00985244657462288	0.00504956373236354	0.00388698397594591	0.0363786178596694	0.0309805057905334	0.0421251057948439	0.0566736019033602	0.0514428048128094	0.0438748385262002	0.0588644352261376	0.0752997629064538	0	0	0.00370653252225111	0.0186392061761651	0.0215680973504858	0.0181348295930092	0.0082667700172071	0.0177242933056805	0.0152099764998752	0.00458556698491814	0.0315065225999786	0.0429178094763835	0.0136385474937151	0.00408281351779571	0.0203591944196307	0.0467459869670705	0.0382518630079894	0.0186911325222219	0.0195948753104484	0.0605882669281381	0.00519512858512498	0.00248525820651155	0.00281264009182333	0.00637303053986843	0.185159585685089	0.29234276673912	0.360914865432427	0.631618394398411	0.14433182225051	0.0427803325329908	0.0667836537000856	0.0980866933072159	0.0412807100147129	0.0370352182367433	0.0212986941230916	0.0045372050816697	0.17637055767719	0.160198098162593	0.105820105820106	0	0.00419002625878685	0.00204531787945364	0.000518403317781234	0.0124607361728728	0.0448417337182154	0.0280274256769714	0.00257997936016512	0	0.0284900284900284	0.0238663484486874	0	0	0.00924236483517388	0.0342569365383715	0.0337546070477186	0	0.756931607102773	0.328276431815746	0.0929152148664344	0.065359477124183	0.00863557858376512	0	0	0	0.0328383445419443	0.0494642247202891	0.0269742119149804	0.0167364016736402	0.0167851524588227	0.0335859625234076	0.035676737995974	0.0858554857056049	0.0376672889411415	0.095280915317686	0.113512757516444	0	0	0	0	0	0.0268432767047179	0	0.0391283929745468	0	0	0	0	0	0.0142833476550056	0.00557366377348708	0.0294993250435248	0.0740837651632522	0.00544649948939068	0	0	0.032051282051282	0.0558659217877096	0.0198412698412698	0	0	0	0.327868852459016	0	0	0	0	0	0	0.00829780882668568	0.00276352833480146	0.0208550573514078	0.0182815356489945
A01D	-0.1764	0.1993	2	671	23.9322	0.00423485349026377	0.00607351863276023	0.00375475507822834	0.0143084502128075	0.115746956840846	0.112745526636151	0.0806670717514331	0.102230273036898	0.158782490972913	0.156559972484092	0.108213724991917	0.137387599694934	0	0.0297296102881185	0.0153892291494108	0.0530754336943887	0.0492623938729278	0.0307423483650864	0.0132862336246236	0.0136200143942574	0.0975262492613621	0.190026400287074	0.0804833268138021	0.0886365313407756	0.165801795181862	0.165876166076561	0.120868945713195	0.09896764451821	0.310414758697127	0.159968193494816	0.192740715549912	0.208952537528219	0.0449068923452076	0.0484786315124786	0.0343769564887212	0.0601199236206636	0.218787480954236	0.344319619462132	0.198711018891313	0.28597499127583	0.0532594793971568	0.0657350176928825	0.0631297523919312	0.0859445764867205	0.041056736997224	0.0850731035271647	0.0750304749257581	0.0361360918636461	0.0468253968253969	0.0163132137030995	0.00849256900212314	0	0.00465753543205702	0.0106669968227081	0.00563953177757652	0.0261376495821455	0.180100305974357	0.0406249287052961	0.00869565217391304	0.0531914893617022	0	0	0	0	0.0666064210042198	0.182738921697643	0.319323065695262	0	1.17324928647298	0.732463845789643	0.415908647076358	0.76923076923077	0.0193798449612403	0	0	0	0.260924732105393	0.195874562133397	0.0966016610789813	0.0722272670170075	0.0345871181756486	0.0333709584060614	0.0241403522007161	0	0.0748190368521048	0.0136054421768708	0.0917210313762039	0	0.0105519164306028	0	0	0	0.135557716955817	0.0418047403293115	0.0201409869083586	0.100149313521978	0	0	0	0	0.0218228624950621	0.0107641937209145	0.0440287246234122	0.171914191579767	0.0537599877602866	0.0309997116980405	0.0141823858210077	0	0.0558945919821753	0.135135135135135	0	0	0	0	0	2	0	0.201312946582233	0.140845070422535	0	0.0256463229113561	0.0122268432795745	0.0158478605388273	0
A01F	-0.3107	0.2677	2	671	16.1707	0.00257900149293193	0.00488122916723829	0.000496894409937888	0.000586699018613362	0.0378059723475194	0.0275120124206899	0.0249690318960951	0.0326078575558972	0.0593291524731609	0.0430321174742318	0.035648408797635	0.0519257785245058	0	0	0.0031936486362268	0.00754093421310842	0.00922083909635776	0.00353606789250354	0.00680972475262836	0.00476511395535147	0.0237533211339293	0.0850475038219275	0.0622199981646695	0.00403337684305483	0.0566099075949311	0.0361593750569617	0.0305064330125523	0.0189460034637339	0.0114784205693297	0.0274931773879142	0.023679012726361	0.057342100204117	0.000989194351064972	0.000966443450276256	0.000181995931776658	0.00325569101446913	0.0673320794152854	0.031888718116812	0.0395003886241052	0.0780572947047956	0	0.0270146561891869	0.00698812019566736	0.0557500130762912	0.10036147769833	0.0927036147687794	0.00909045030194888	0.0386903702799934	0.0178571428571429	0.0323624595469256	0	0	0	0	0	0	0.00531632110579478	0.0761594596471769	0.00579710144927536	0.026595744680851	0	0	0	0	0.0765098265589537	0.295344769971179	0.19009444617192	0	0.205049575216699	0.125065265748532	0.232288037166086	0	0	0	0	0	0.0227144805557207	0.00877824347186805	0.00322268772155978	0.0062111801242236	0.0426141940652679	0.00353528769531708	0	0.0256835601873427	0.00759878419452888	0	0	0	0	0	0	0	0.0222060543298851	0.0144404332129964	0	0	0	0	0	0	0.00621103069454946	0.00350754121360926	0.0175390948274581	0.0276179642705617	0.0332618181241025	0	0	0	0	0	0	0	0	0	0	0	0.134228187919463	0	0	0	0.00707714083510262	0.00549752611324904	0	0.0231481481481482
A01G	-0.4182	0.1242	2	671	45.2105	0.0142903053689621	0.0515734048259906	0.0150431740842716	0.0251331265150141	0.0822138924247435	0.0688251446358164	0.0767021756351445	0.100458053717899	0.0998161851217676	0.0929867032142201	0.104381677125538	0.129090108476657	0.126582278481013	0.0189118775912296	0.0429589932990406	0.0748871713875882	0.0491771548014328	0.058244832714506	0.0291507354721789	0.0692873909740884	0.0690261748529174	0.0446786209826471	0.0422002328255631	0.0690226941945136	0.0394113722446127	0.0362722494075656	0.0471170061203927	0.0485149313261813	0.057353738964056	0.0940719013420012	0.0829712325866728	0.104135312794515	0.0183478320771131	0.018286236402776	0.0222606801974425	0.0414122956449796	0.270081594991246	0.120385069564043	0.153124712691963	0.265635272506154	0.390500114091352	0.127129687687791	0.202616277715021	0.186220035675402	0.195484124569236	0.127414907723308	0.161883788955889	0.13875342478804	0.105012982572139	0.00933706816059758	0.0277044171715603	0.0531914893617022	0.0475587120948534	0.0789296211861504	0.0630484967816368	0.12707084533265	0.186548347376189	0.0987943941222468	0.137801383130617	0.500272057075147	0.05334914048607	0.022500108173597	0.0537057590331731	0	0.0820276058800005	0.0782847257618319	0.0755119124985972	0.0654188019340456	0.207180478716075	0.195514782644699	0	0.126582278481013	0.0752466929139369	0.103865819662259	0.1688028482421	0	0.101275172808097	0.0922525177732433	0.0571410074477782	0.147383236577476	0.0451144754745395	0.0761695882269053	0.0230731162955467	0.00460708112692136	0.133887446885016	0.0828497685505473	0.15412061757184	0	0.0443327366330745	0.00654878847413228	0	0	0.094759246295898	0.0588811044968283	0.0391283929745468	0.11003219135134	0.42227905064883	0.039447731755424	0	0	0.203386193916716	0.125415040018679	0.177195837174981	0.237182968134949	0.100335457486222	0.0221898812066694	0.00421762969211304	0.032051282051282	0	0.0198412698412698	0	0	0	0.465437097016044	0	0	0.0344827586206896	0.0291120815138282	0	0	0.245439807531049	0.153615877487636	0.110406703746783	0.180665016423804
A01H	-1.1157	-0.3486	2	671	17.3197	0.00615991203985161	0.0104536997406254	0.00895330070436853	0.0045425129252428	0.164431037258409	0.27293754318344	0.274653614497364	0.266901480414181	0.288527919130557	0.481489753700293	0.467822586166311	0.456218445143592	0	0.0110186045735696	0.00872459292803202	0.0177381183040558	0.185732906441487	0.0373535362817941	0.00938757888862964	0.0654240446519146	0.0913237107361057	0.128714475096171	0.147503346087203	0.178116022988068	0.0253531652739309	0.057443894974898	0.0364306694929158	0.0755535893889802	0.0185013876040703	0.0849992985170437	0.0787559449657249	0.0169538089235842	0.00494359211160105	0.00420190972356887	0.00557479113480752	0.0198207043797921	0.0428475390014925	0.53693027943903	0.388436478747982	0.0708737663631519	0.0384609191028726	0.179182769677444	0.224313297037486	0.374412929696744	1.35266112147482	1.17071615213168	0.338369168847874	0.0212222468143113	0	0	0	0	0.000991289988007427	0.00375678816935269	0.00120960774148955	0.00387146728610144	0.0503399379914284	0.0335837791854944	0.144351092172348	0.0609756097560976	0	0.0348432055749128	0.0392156862745098	0	0.0636356616068803	0.0544541245802327	0.0264001523627936	0.084403421934908	0.248073285156873	0.31422573960284	1.00884270536764	0	0.00518134715025906	0	0	0	0	0.0044647025444324	0	0.0124223602484472	0.699130946063335	1.08408820639886	1.22146449214948	0.547847647772812	0.0316342499441091	0.364478075911927	0.352461464843416	0.308831764940416	0.00513909355474218	0.0252223886477909	0.0460642081479015	0.0595552039381153	0.101536447748512	0.313074243563969	0.215528930151595	0	0.0854700854700854	0	0	0	0.1220014277582	0.0629252196720597	0.0381570932225494	0.051357116997343	0.0477453532462959	0.00540510314626846	0.271194600484768	0.546400268015989	0	0	0	0	0	0	0	0	0	0	0	0	0.0146555758076251	0	0	0
A01J	-0.3467	0.0675	2	671	14.9931	0	0.000819336337566572	0.00096422780558234	0	0.0175640809960481	0.0109724852716575	0.0145418458303887	0.00986002468442874	0.0114439125559871	0.00573053146085109	0.00975361255737081	0.00705191747610356	0.00941619585687382	0	0	0.000254000508001016	0	0.0442393068084244	0.0170540250733027	0.0127740538036384	0.00637755102040816	0.00266240681576144	0.00136855070480361	0.00513226116687881	0.0274014397641474	0.0168324882087641	0.0303487305374755	0.0241746482610951	0	0.00447227191413238	0.0175341516873294	0.0261694546759127	0.000372451523375578	0.000277686681032781	0.000430460887871235	0.000307296381811058	0.0061804697156984	0.0123531388411709	0.00956774557391986	0.00285285875956214	0.0082815734989648	0.00881445570736008	0.01668039117907	0	0.153773106728887	0.200830349821566	0.0836912501405489	0.0723136806880933	0	0	0	0.028735632183908	0	0	0	0	0.0064472654295921	0.0706194979549677	0.0125470514429109	0.13641181513522	0	0	0	0	0.0135254114394305	0	0.0146627565982405	0	0	0	0	0	0	0	0	0	0.167717656734379	0.255452470828513	0.31059201184644	0.56772519636927	0.0534413384545708	0.0483607655258072	0.109994754073828	0.295246239819546	0	0.0272108843537416	0	0	0.00374953130858642	0	0	0	0	0	0	0	0	0	0	0	0.0217114272302985	0.0381296637743108	0.0169635284139101	0.0132450331125828	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218340611353712	0	0	0.00341296928327646	0	0	0
A01K	-0.3647	0.1479	2	671	28.2775	0.0871449544721591	0.0890708143987415	0.0587960199573333	0.0540279961570414	0.315536520577543	0.214672516057618	0.197009798235873	0.204426975219642	0.434393121205048	0.318328564721444	0.294004748795908	0.277895843905543	0.372537324102557	0.126746380364448	0.101120504745714	0.128614034293779	0.381602439105134	0.202996709676942	0.135240594685087	0.144062040269279	0.195158786529556	0.125212126048925	0.0686821761869445	0.113739507386464	0.0921265066827964	0.0870050394638287	0.0588602198450161	0.0826156358138973	0.271977660839016	0.306139877236105	0.143940769199063	0.181192895974732	0.113074457130022	0.0782434897637467	0.0850175623034112	0.114970077584742	0.586254998047023	0.31461483576291	0.335805794798807	0.441079921550147	0.622700205750554	0.325203579330874	0.34664696038318	0.515188365057483	0.346024574689129	0.320035086374864	0.21097919427753	0.13313258434574	0.491712405713726	0.430408560991824	0.419419147201015	0.822685827674822	0.0699548138437742	0.0670389654070643	0.0927276420135648	0.23647621413427	0.220079816386533	0.212542526656638	0.384792328455638	0.985510105154367	0.0854700854700854	0.0505378501802968	0.37436833828772	0	0.229672349619383	0.173759603528578	0.148238932329568	0.550368200866653	0.395988452112174	0.216332027012959	0.156246252728014	0.476190476190476	0.0776361767463953	0.145925629425733	0.0498442367601246	0.90909090909091	0.136470257104493	0.214257734589952	0.266931388709597	0.381886447357989	0.119471831533702	0.113341152499853	0.21319789743902	0.31685590999729	0.179190980911696	0.136123111814255	0.738010543391205	0.89923227826312	0.0345443385917055	0.0272250552129307	0.057649969089436	0.0389519060405136	0.244039971631313	0.0791593214339372	0.0431199858576108	0.0137174211248285	0.352216259193004	0	0.246913580246914	0	0.197277799555237	0.163376565502194	0.147921480326044	0.238442305271041	0.0485142157988237	0.0843405001704529	0.00632644453816954	0.0925925925925926	0	0.197544947544948	0	0	0.532467532467532	0.08130081300813	0	0	0.331941239852298	0.123456790123457	0.27027027027027	0	0.128395975648908	0.0725317095785584	0.0427928295811453	0.122445766305274
A01L	-0.3088	0.1375	2	671	18.8545	0	0	0	0	0.00380869149391499	0.00160707587869201	0.00160242681440368	0.00150193644551359	0.00469191844541776	0.00276480108682238	0.00305372123687742	0.0018339420550436	0	0	0	0	0.0219252176240642	0	0.00250720822364298	0.00366568914956012	0	0.0040196181386209	0	0.00104199228925706	0.00435672480519675	0.000390892211472686	0.00057850283466389	0.00113320868037849	0	0	0.0022964749110116	0	0	0	0	0	0.016488966497889	0.00878688659160148	0.000596160724931442	0.0052285050348567	0	0	0	0.00660938532716458	0.00283136352631933	0	0	0.0120229580035281	0	0	0	0	0	0	0	0	0	0	0	0.0531914893617022	0	0	0	0	0.0324506134824009	0	0	0	0	0	0	0	0	0	0	0	0.0063050945985016	0	0	0	0.0022011886418666	0.000985221674876848	0	0	0	0	0	0	0	0	0	0	0.027107951779337	0	0	0.0589970501474926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A01M	-0.1437	0.0693	2	671	22.4995	0.0044617234704936	0.0090459062126109	0.00631260804289202	0.0081856423423822	0.0744095028002665	0.0444670338392144	0.0518481829528984	0.0568347332546241	0.117989144925583	0.0765775274151041	0.0881140860244173	0.0905704509750443	0.0308641975308642	0.015416674710676	0.0178014440354829	0.0195049044153401	0.113620299078406	0.0274977458316627	0.0492768330374204	0.0689486172256225	0.05840620639303	0.00885509112274619	0.0381934156198489	0.0413702618189205	0.0118766755328058	0.012592653528447	0.0116644888412177	0.0347642008235686	0.113953553098165	0.043578683809742	0.0264515077616968	0.0482361290980611	0.00495843985385982	0.00348765389030136	0.00840497919064674	0.0102032072863021	0.117002632696619	0.0734281724624723	0.0581707777744489	0.0815132328140504	0.111394001328868	0.0915374521322669	0.137196969281324	0.12502152931647	0.0550766787258124	0.0174826162196344	0.0276981667479611	0.0255059821989446	0.01194743130227	0.016	0	0	0.00779289099504803	0.0101854694193288	0.0205932378885253	0.0253573432123047	0.0743291847441654	0.0319470271100299	0.0891093010567153	0.0531914893617022	0	0	0	0	0.0209739494771782	0.0285582114410654	0	0	0.089646179693573	0.108525311519111	0.088495575221239	0.261437908496732	0.00863557858376512	0.0656687160295822	0.64516129032258	0	0.0195852767368416	0.00357285949911645	0.00322268772155978	0.0165631469979296	0.0246480548200778	0.0275800078828969	0.0460606986300626	0.0509507340679041	0.162755308197356	0.146553018192991	0.244111417536275	0.676358120527463	0.00972061134845192	0.00260552371026576	0	0	0.0186318019337268	0.0158544642946333	0.0064040986231188	0	0.0854700854700854	0	0	0	0.0233953749374369	0.0304371359241766	0.00316255534471854	0.0739278210883385	0.0118652220088344	0.00196298881682126	0.0098460203860334	0.0636468586705554	0	0	0	0	0.418132942326492	0.0854700854700854	0.359208523592085	4.00000000000001	0.0671370861125098	0	0.229885057471264	0	0.01601092407814	0	0	0
